TP,FP,FN,TN,coverage,accuracy,precision,recall,F1,max_epochs,warmup_frac,calibration_frac,transformer_lr,score_lr,use_counts,batch_size,score_decay,dispersion,add_upper,model,threshold,group_threshold,projection_lr
1761986,741493888,3621952,39509877592,1.0,0.9814909117174695,0.002370631785952088,0.3272671416349891,0.004707166174592916,1,0.1,0,0.0,1,True,8,0,0,True,roberta-base,0.28,True,0.0
4103946,26836186420,1279992,13415185060,1.0,0.33334253758562554,0.00015290244420003307,0.7622572919673295,0.0003057435587966224,1,0.1,0,0.0,1,True,8,0,0,True,roberta-base,0.3,False,0.0
1680646,643522404,3703292,39607849076,1.0,0.9839225568658073,0.0026048326956916897,0.31215924106109694,0.0051665527623494375,1,0.1,0,0.0,1,True,8,0,0,True,roberta-base,0.3,True,0.0
4052992,26424028532,1330946,13827342948,1.0,0.343579501039857,0.00015335929686456344,0.7527932156722459,0.00030665612163690507,1,0.1,0,0.0,1,True,8,0,0,True,roberta-base,0.32,False,0.0
1612548,516424816,3771390,39734946664,1.0,0.9870780394346583,0.003112802496616827,0.2995108784685113,0.006161568105227785,1,0.1,0,0.0,1,True,8,0,0,True,roberta-base,0.32,True,0.0
4018950,25754252766,1364988,14497118714,1.0,0.36021625472370056,0.00015602560778577354,0.7464703345395136,0.0003119860049345154,1,0.1,0,0.0,1,True,8,0,0,True,roberta-base,0.34,False,0.0
1645970,350863710,3737968,39900507770,1.0,0.991191498810124,0.004669290216370796,0.30571860225730685,0.00919809640193137,1,0.1,0,0.0,1,True,8,0,0,True,roberta-base,0.34,True,0.0
3874496,24653382916,1509442,15597988564,1.0,0.3875588804413169,0.00015713410195062453,0.719639787828166,0.0003141995980896831,1,0.1,0,0.0,1,True,8,0,0,True,roberta-base,0.36,False,0.0
1612516,275075536,3771422,39976295944,1.0,0.9930732878220156,0.005827920607139191,0.299504934863663,0.011433364936376703,1,0.1,0,0.0,1,True,8,0,0,True,roberta-base,0.36,True,0.0
3833056,24356368910,1550882,15895002570,1.0,0.3949358427155099,0.00015734910594542153,0.7119428195495565,0.0003146286746481021,1,0.1,0,0.0,1,True,8,0,0,True,roberta-base,0.38,False,0.0
1656590,250947622,3727348,40000423858,1.0,0.993673733331074,0.006558045833376682,0.307691136116352,0.012842372798905688,1,0.1,0,0.0,1,True,8,0,0,True,roberta-base,0.38,True,0.0
