,TP,FP,FN,TN,coverage,accuracy,precision,recall,F1,test_set,training_set,seed,threshold,unite_hash
1058,244324,9163132750,14700,1169229076,1.0,0.1131826491049461,2.6663095715360278e-05,0.9432485020693063,5.332468408546357e-05,opensecrets_gold,canlobby_gold,6,0.2,False
1059,256906,9777690152,2118,554671674,1.0,0.053706468867480026,2.6274022397146017e-05,0.9918231515226388,5.254665280023498e-05,opensecrets_gold,canlobby_gold,6,0.2,True
1060,228752,8183969960,30272,2148391866,1.0,0.20794536538133013,2.795044549255563e-05,0.8831305207239484,5.589912181812994e-05,opensecrets_gold,canlobby_gold,6,0.25,False
1061,254568,9310548930,4456,1021812896,1.0,0.09891657487848303,2.734114193846775e-05,0.9827969608993761,5.468076267311311e-05,opensecrets_gold,canlobby_gold,6,0.25,True
1062,207262,7047004628,51762,3285357198,1.0,0.3179797756732746,2.9410496411226823e-05,0.800165235653839,5.8818830905216835e-05,opensecrets_gold,canlobby_gold,6,0.30000000000000004,False
1063,250630,8787407200,8394,1544954626,1.0,0.14954630373377148,2.8520682626533263e-05,0.9675937364877386,5.703968395784733e-05,opensecrets_gold,canlobby_gold,6,0.30000000000000004,True
1064,182990,5984511580,76034,4347850246,1.0,0.4208064245384558,3.0576330648065134e-05,0.706459633084193,6.115001465790813e-05,opensecrets_gold,canlobby_gold,6,0.35000000000000003,False
1065,244816,8227789552,14208,2104572274,1.0,0.20370602198182855,2.975388641449097e-05,0.9451479399592316,5.950589954364622e-05,opensecrets_gold,canlobby_gold,6,0.35000000000000003,True
1066,155848,4955739816,103176,5376622010,1.0,0.5203692205545314,3.1446989720161305e-05,0.6016739761566495,6.28906924060882e-05,opensecrets_gold,canlobby_gold,6,0.4,False
1067,238212,7623237798,20812,2709124028,1.0,0.2622144254910892,3.1247163326483666e-05,0.9196522329977145,6.249220334590134e-05,opensecrets_gold,canlobby_gold,6,0.4,True
1068,133802,4039906534,125222,6292455292,1.0,0.6090022256066814,3.3118976265587465e-05,0.51656217184508,6.623370600934878e-05,opensecrets_gold,canlobby_gold,6,0.45,False
1069,229850,6771997722,29174,3560364104,1.0,0.34459736844016686,3.394008803695884e-05,0.8873695101612206,6.787757989384731e-05,opensecrets_gold,canlobby_gold,6,0.45,True
1070,113988,3130564698,145036,7201797128,1.0,0.697007198904429,3.640999650003686e-05,0.44006732966829326,7.281396856662471e-05,opensecrets_gold,canlobby_gold,6,0.5,False
1071,219544,5631622410,39480,4700739416,1.0,0.4549628819487749,3.8982628027064836e-05,0.8475816912718512,7.796167038111653e-05,opensecrets_gold,canlobby_gold,6,0.5,True
1072,96858,2159035046,162166,8173326780,1.0,0.7910310226857884,4.4859695612186184e-05,0.37393446167150535,8.97086291732351e-05,opensecrets_gold,canlobby_gold,6,0.55,False
1073,204554,4136316874,54470,6196044952,1.0,0.5996783967932008,4.945072896646433e-05,0.7897106059670146,9.889526523028541e-05,opensecrets_gold,canlobby_gold,6,0.55,True
1074,78890,1157632534,180134,9174729292,1.0,0.8879458866430776,6.814306083931327e-05,0.3045663722280561,0.0001362556361196534,opensecrets_gold,canlobby_gold,6,0.6000000000000001,False
1075,184212,2374940580,74812,7957421246,1.0,0.7701439521996977,7.755887211504464e-05,0.7111773426400643,0.0001551008293979216,opensecrets_gold,canlobby_gold,6,0.6000000000000001,True
1076,64366,370896814,194658,9961465012,1.0,0.964085445756001,0.00017351141701673476,0.24849434801408363,0.00034678069408097193,opensecrets_gold,canlobby_gold,6,0.65,False
1077,163012,823512074,96012,9508849752,1.0,0.9202904957070983,0.00019790813485889508,0.6293316449440979,0.0003956918351153104,opensecrets_gold,canlobby_gold,6,0.65,True
1078,50018,31741842,209006,10300619984,1.0,0.9969077692423022,0.0015732958059075498,0.19310179751683243,0.0031211619623346424,opensecrets_gold,canlobby_gold,6,0.7000000000000001,False
1079,141928,74883682,117096,10257478144,1.0,0.9927413597103004,0.0018917273714935472,0.5479337821977887,0.0037704374042649923,opensecrets_gold,canlobby_gold,6,0.7000000000000001,True
1080,39418,518056,219606,10331843770,1.0,0.9999286084323902,0.07070823033899339,0.1521789486688492,0.09655381887034627,opensecrets_gold,canlobby_gold,6,0.75,False
1081,130194,1198252,128830,10331163574,1.0,0.9998715638540051,0.09800473636113173,0.5026329606522948,0.1640270367314028,opensecrets_gold,canlobby_gold,6,0.75,True
1082,29052,61386,229972,10332300440,1.0,0.9999718021202724,0.32123664831155047,0.11215949101241583,0.16626700471009723,opensecrets_gold,canlobby_gold,6,0.8,False
1083,119762,174466,139262,10332187360,1.0,0.9999696371322867,0.4070380793126419,0.4623587003520909,0.4329383355143768,opensecrets_gold,canlobby_gold,6,0.8,True
1084,17786,5088,241238,10332356738,1.0,0.9999761603562566,0.7775640465156947,0.06866545185002162,0.12618748625389326,opensecrets_gold,canlobby_gold,6,0.8500000000000001,False
