,TP,FP,FN,TN,coverage,accuracy,precision,recall,F1,max_epochs,warmup_frac,calibration_frac,transformer_lr,score_lr,use_counts,batch_size,regularization,norm,alpha_decay,fold,threshold,alpha
183,505408,0,666046,1611951030,1.0,0.9995871076086247,1.0,0.43143648832988746,0.602802138756797,1,0.1,0,1e-05,100,True,8,0,1.0,1e-06,3,0.75,149.9590301513672
184,477998,0,693456,1611951030,1.0,0.9995701157185036,1.0,0.40803821575580435,0.579584007294544,1,0.1,0,1e-05,100,True,8,0,1.0,1e-06,3,0.8,149.9590301513672
185,393378,0,778076,1611951030,1.0,0.999517658449549,1.0,0.3358031984183758,0.502773460665426,1,0.1,0,1e-05,100,True,8,0,1.0,1e-06,3,0.8500000000000001,149.9590301513672
186,346036,0,825418,1611951030,1.0,0.9994883103991252,1.0,0.2953901732377029,0.4560636313913107,1,0.1,0,1e-05,100,True,8,0,1.0,1e-06,3,0.9,149.9590301513672
187,196226,0,975228,1611951030,1.0,0.9993954408238228,1.0,0.16750636388624734,0.28694723912026204,1,0.1,0,1e-05,100,True,8,0,1.0,1e-06,3,0.9500000000000001,149.9590301513672
188,0,0,1171454,1611951030,1.0,0.0,0.0,0.0,0.0,1,0.1,0,1e-05,100,True,8,0,1.0,1e-06,3,1.0,149.9590301513672
189,788606,1523318038,0,119017752,1.0,0.07291374791321642,0.0005174217979460497,1.0,0.0010343084221686703,1,0.1,0,1e-05,100,True,8,0,1.0,1e-06,4,0.0,164.23619079589844
190,788606,1221508620,0,420827170,1.0,0.25659394810665326,0.0006451834981093216,1.0,0.0012895350095102729,1,0.1,0,1e-05,100,True,8,0,1.0,1e-06,4,0.05,164.23619079589844
191,782252,62556794,6354,1579778996,1.0,0.9619242778256455,0.012350233377370413,0.9919427445390981,0.024396714228676262,1,0.1,0,1e-05,100,True,8,0,1.0,1e-06,4,0.1,164.23619079589844
192,716022,2225080,72584,1640110710,1.0,0.998601649390884,0.2434536442462723,0.9079591075898484,0.38395606304836727,1,0.1,0,1e-05,100,True,8,0,1.0,1e-06,4,0.15000000000000002,164.23619079589844
193,665966,128132,122640,1642207658,1.0,0.9998473810013347,0.8386446005404874,0.8444850787338671,0.8415547063759237,1,0.1,0,1e-05,100,True,8,0,1.0,1e-06,4,0.2,164.23619079589844
194,661476,23160,127130,1642312630,1.0,0.9999085340097403,0.9661718051636198,0.8387914877644856,0.8979868887799831,1,0.1,0,1e-05,100,True,8,0,1.0,1e-06,4,0.25,164.23619079589844
195,649258,17764,139348,1642318026,1.0,0.9999043821634062,0.973368194752197,0.8232983264139507,0.8920658300060181,1,0.1,0,1e-05,100,True,8,0,1.0,1e-06,4,0.30000000000000004,164.23619079589844
196,578362,16336,210244,1642319454,1.0,0.9998621041714483,0.9725305953610067,0.7333979198738027,0.8362037556459029,1,0.1,0,1e-05,100,True,8,0,1.0,1e-06,4,0.35000000000000003,164.23619079589844
197,577174,16332,211432,1642319458,1.0,0.9998613835930168,0.9724821653024569,0.7318914641785632,0.8352058299182701,1,0.1,0,1e-05,100,True,8,0,1.0,1e-06,4,0.4,164.23619079589844
198,533500,30,255106,1642335760,1.0,0.9998447250855619,0.9999437707345417,0.6765101964732706,0.8070274162415969,1,0.1,0,1e-05,100,True,8,0,1.0,1e-06,4,0.45,164.23619079589844
199,474052,22,314554,1642335768,1.0,0.9998085501007923,0.9999535937427491,0.6011265448145208,0.7508664111255425,1,0.1,0,1e-05,100,True,8,0,1.0,1e-06,4,0.5,164.23619079589844
200,473940,2,314666,1642335788,1.0,0.9998084941099006,0.9999957800743551,0.6009845220553737,0.7507674955724457,1,0.1,0,1e-05,100,True,8,0,1.0,1e-06,4,0.55,164.23619079589844
201,472630,0,315976,1642335790,1.0,0.9998076980654848,1.0,0.5993233629974918,0.7494711536936783,1,0.1,0,1e-05,100,True,8,0,1.0,1e-06,4,0.6000000000000001,164.23619079589844
202,453860,0,334746,1642335790,1.0,0.9997962747063979,1.0,0.5755218702368483,0.7305793478453334,1,0.1,0,1e-05,100,True,8,0,1.0,1e-06,4,0.65,164.23619079589844
203,427286,0,361320,1642335790,1.0,0.9997801018590683,1.0,0.5418244345084872,0.7028354492010804,1,0.1,0,1e-05,100,True,8,0,1.0,1e-06,4,0.7000000000000001,164.23619079589844
204,415328,0,373278,1642335790,1.0,0.999772824260349,1.0,0.5266609688488294,0.6899514425209355,1,0.1,0,1e-05,100,True,8,0,1.0,1e-06,4,0.75,164.23619079589844
205,405068,0,383538,1642335790,1.0,0.9997665800587383,1.0,0.5136506696626706,0.6786911669350258,1,0.1,0,1e-05,100,True,8,0,1.0,1e-06,4,0.8,164.23619079589844
206,370250,0,418356,1642335790,1.0,0.9997453899406409,1.0,0.4694993444127993,0.6389922475268713,1,0.1,0,1e-05,100,True,8,0,1.0,1e-06,4,0.8500000000000001,164.23619079589844
207,289932,0,498674,1642335790,1.0,0.9996965086750498,1.0,0.36765127325939695,0.5376389149014685,1,0.1,0,1e-05,100,True,8,0,1.0,1e-06,4,0.9,164.23619079589844
208,146418,0,642188,1642335790,1.0,0.9996091665356784,1.0,0.18566686025721335,0.3131855439004774,1,0.1,0,1e-05,100,True,8,0,1.0,1e-06,4,0.9500000000000001,164.23619079589844
209,0,0,788606,1642335790,1.0,0.0,0.0,0.0,0.0,1,0.1,0,1e-05,100,True,8,0,1.0,1e-06,4,1.0,164.23619079589844
210,834538,1429252454,221898,90405540,1.0,0.059998166782700944,0.0005835575071086305,0.7899560408770622,0.001166253477705241,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,0,0.0,25.244251251220703
211,834538,1271364320,221898,248293674,1.0,0.1638231393648313,0.000655980780639877,0.7899560408770622,0.0013108730102008906,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,0,0.05,25.244251251220703
212,832940,478433984,223496,1041224010,1.0,0.6852417057685183,0.0017379459301055376,0.7884434078354013,0.0034682468910110886,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,0,0.1,25.244251251220703
213,817942,2012608,238494,1517645386,1.0,0.9985197076087454,0.28896928158838386,0.774246617873681,0.4208618194148371,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,0,0.15000000000000002,25.244251251220703
214,779306,486960,277130,1519171034,1.0,0.9994975453741174,0.615436251151022,0.7376745964734257,0.6710339940293676,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,0,0.2,25.244251251220703
215,775758,38774,280678,1519619220,1.0,0.9997899329461877,0.9523972047752575,0.7343161346262339,0.8292584373436638,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,0,0.25,25.244251251220703
216,734910,30166,321526,1519627828,1.0,0.9997687323845543,0.9605712373672681,0.6956502807552942,0.8069230397603748,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,0,0.30000000000000004,25.244251251220703
217,630530,30166,425906,1519627828,1.0,0.9997000935935092,0.9543420877377795,0.5968463778212784,0.7343989862165519,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,0,0.35000000000000003,25.244251251220703
218,598104,30154,458332,1519627840,1.0,0.9996787786119712,0.952003794619408,0.5661526112324835,0.710044672801114,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,0,0.4,25.244251251220703
219,586476,23966,469960,1519634028,1.0,0.9996752013459884,0.9607399228755558,0.5551457920782708,0.7036819731258077,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,0,0.45,25.244251251220703
220,570888,23870,485548,1519634124,1.0,0.9996650140289653,0.9598660295447896,0.5403905205805178,0.6914850708033097,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,0,0.5,25.244251251220703
221,562114,23870,494322,1519634124,1.0,0.9996592443723967,0.9592650993883792,0.5320852375345028,0.684494830798456,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,0,0.55,25.244251251220703
222,556888,23870,499548,1519634124,1.0,0.9996558078297448,0.9588985429387111,0.5271384163356796,0.6802956766272048,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,0,0.6000000000000001,25.244251251220703
223,550066,0,506370,1519657994,1.0,0.9996670183500528,1.0,0.5206808552529448,0.6847996454408397,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,0,0.65,25.244251251220703
224,520970,0,535466,1519657994,1.0,0.99964788523773,1.0,0.4931391963166723,0.6605401526303311,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,0,0.7000000000000001,25.244251251220703
225,464382,0,592054,1519657994,1.0,0.999610673780481,1.0,0.4395741909590358,0.6107002941837879,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,0,0.75,25.244251251220703
226,323340,0,733096,1519657994,1.0,0.9995179265840202,1.0,0.306066813323287,0.4686847720209658,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,0,0.8,25.244251251220703
227,306148,0,750288,1519657994,1.0,0.9995066213713774,1.0,0.2897932293106255,0.4493638557329309,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,0,0.8500000000000001,25.244251251220703
228,246104,0,810332,1519657994,1.0,0.9994671372980922,1.0,0.2329568473622633,0.37788321279960696,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,0,0.9,25.244251251220703
229,133714,0,922722,1519657994,1.0,0.9993932312459217,1.0,0.12657084764245066,0.22470108809813888,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,0,0.9500000000000001,25.244251251220703
230,0,0,1056436,1519657994,1.0,0.0,0.0,0.0,0.0,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,0,1.0,25.244251251220703
231,1345060,1583284670,0,127916802,1.0,0.0754793283479669,0.0008488165875822612,1.0,0.0016961934180555291,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,1,0.0,19.445497512817383
232,1345060,1336120844,0,375080628,1.0,0.21980464820444365,0.0010056779735298583,1.0,0.002009335202904717,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,1,0.05,19.445497512817383
233,1342938,273165548,2122,1438035924,1.0,0.8404903663078978,0.0048921547729493505,0.9984223752100279,0.00973660131960022,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,1,0.1,19.445497512817383
234,1322752,7597950,22308,1703603522,1.0,0.9955503352127311,0.1482789134756435,0.9834148662513197,0.25770166890679913,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,1,0.15000000000000002,19.445497512817383
235,1269170,1894654,75890,1709306818,1.0,0.998849348637728,0.4011506329049909,0.9435787251126344,0.5629641392415506,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,1,0.2,19.445497512817383
236,969164,225174,375896,1710976298,1.0,0.999649019755803,0.8114654310588795,0.720535886874935,0.7633021684666995,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,1,0.25,19.445497512817383
237,968040,183100,377020,1711018372,1.0,0.9996729315148326,0.8409402852824157,0.7197002364206802,0.7756109286114895,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,1,0.30000000000000004,19.445497512817383
238,965136,174594,379924,1711026878,1.0,0.9996762026668248,0.846811086836356,0.7175412249267691,0.7768350645326164,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,1,0.35000000000000003,19.445497512817383
239,960034,174402,385026,1711027070,1.0,0.9996733355914442,0.8462654570200523,0.71374808558726,0.774378341404866,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,1,0.4,19.445497512817383
240,958144,174402,386916,1711027070,1.0,0.9996722319717968,0.8460089038326037,0.712342943809198,0.7734433965691074,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,1,0.45,19.445497512817383
241,955664,174250,389396,1711027222,1.0,0.9996708725926753,0.845784723439129,0.7104991598887782,0.772261850023475,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,1,0.5,19.445497512817383
242,930822,174192,414238,1711027280,1.0,0.9996564005771494,0.8423621782167465,0.6920300953117333,0.7598317438575324,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,1,0.55,19.445497512817383
243,700204,3030,644856,1711198442,1.0,0.999621682688386,0.9956913346055509,0.5205745468603631,0.6836948211536039,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,1,0.6000000000000001,19.445497512817383
244,673718,1490,671342,1711199982,1.0,0.9996071160768903,0.9977932725915569,0.5008832319747818,0.6669590371178478,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,1,0.65,19.445497512817383
245,669772,0,675288,1711201472,1.0,0.9996056819552743,1.0,0.49794953384979107,0.6648415351751412,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,1,0.7000000000000001,19.445497512817383
246,533514,0,811546,1711201472,1.0,0.9995261174018716,1.0,0.3966469897253654,0.5679989183284768,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,1,0.75,19.445497512817383
247,343634,0,1001426,1711201472,1.0,0.9994152415824693,1.0,0.25547856601192515,0.40698196357658645,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,1,0.8,19.445497512817383
248,322844,0,1022216,1711201472,1.0,0.9994031017663466,1.0,0.24002200645324373,0.3871253981044473,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,1,0.8500000000000001,19.445497512817383
249,270968,0,1074092,1711201472,1.0,0.9993728100346881,1.0,0.20145421022110538,0.3353506251129312,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,1,0.9,19.445497512817383
250,102094,0,1242966,1711201472,1.0,0.9992742001593683,1.0,0.075902933698125,0.14109624822237302,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,1,0.9500000000000001,19.445497512817383
251,0,0,1345060,1711201472,1.0,0.0,0.0,0.0,0.0,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,1,1.0,19.445497512817383
252,1010106,1350433716,12276,151187124,1.0,0.101286338481218,0.0007474272948357893,0.9879927463511682,0.0014937245707324158,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,2,0.0,14.25964069366455
253,1010106,957184924,12276,544435916,1.0,0.3629910374027561,0.001054175787156817,0.9879927463511682,0.002106104387521272,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,2,0.05,14.25964069366455
254,896986,51669014,125396,1449951826,1.0,0.9655311325791213,0.01706399573869041,0.8773491708578594,0.03347688310499839,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,2,0.1,14.25964069366455
255,798158,656564,224224,1500964276,1.0,0.9994138408990874,0.5486670305391683,0.7806847147152434,0.6444283324398168,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,2,0.15000000000000002,14.25964069366455
256,699972,313582,322410,1501307258,1.0,0.9995767511604294,0.6906114523745158,0.6846482039003035,0.6876168995489054,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,2,0.2,14.25964069366455
257,641498,22010,380884,1501598830,1.0,0.9997318764733363,0.9668278302597708,0.6274543174664655,0.7610199953733635,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,2,0.25,14.25964069366455
258,556130,17836,466252,1501603004,1.0,0.9996778423561146,0.9689249885881742,0.54395519482933,0.696752838353542,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,2,0.30000000000000004,14.25964069366455
259,551774,10552,470608,1501610288,1.0,0.9996797909224523,0.981235084274958,0.539694556437809,0.6963730857672201,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,2,0.35000000000000003,14.25964069366455
260,529916,5580,492466,1501615260,1.0,0.9996685533913119,0.9895797540971362,0.5183150720572154,0.6803048762483327,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,2,0.4,14.25964069366455
261,529300,4652,493082,1501616188,1.0,0.9996687610254299,0.9912876063766032,0.5177125575372024,0.6801881858264358,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,2,0.45,14.25964069366455
262,526064,4612,496318,1501616228,1.0,0.9996666341067088,0.9913091980794307,0.5145474000911596,0.6774557035216972,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,2,0.5,14.25964069366455
