name,ult_org,score
New York Health Care Inc,New York State Public Housing Authority,0.9340760090292629
California Grapes International Inc,California State University,0.9340637742227809
California Pizza Kitchen Inc,California Science Center,0.9323090980895513
Mitsubishi Electric Corp,Mitsubishi Gas Chemical,0.9315675773442821
First Community Bancshares Inc,First Command Financial Services,0.9295417214613112
Coast Dental Services Inc,Coast Development Group,0.9278196564496172
Triant Holdings Inc,Tanana Chiefs Conference,0.9270934280866601
Universal Logistics Holdings Inc,University of Kentucky,0.926635388173699
Spectrum Group International Inc,Spectrum Group,0.9266185038932974
Mitsubishi Electric Corp,Mitsubishi Corp,0.9260188933965269
Argan Inc,Arxan Inc,0.9252746913586235
Gemstar TV Guide International Inc,Gemstar-TV Guide International,0.9245526456251196
Edison Mission Energy,Edison Electric Institute,0.9240273471760709
Independent Bank Corp.,Independent Community Bankers of America,0.9237262004253347
Spectrum Control Inc,Spectrum Consulting,0.9230725182809779
Porter Bancorp Inc,Porter Technologies,0.9220146625837035
Florida Banks Inc,Florida State College/Jacksonville,0.9207219470427851
Providence Service Corp,Providence Health & Services,0.9201062572446974
Communications Systems Inc.,Communications Workers of America,0.9187780825107237
Manitowoc Company Inc.,Manitowoc Co,0.918098359529211
First Niagara Financial Group Inc,First National of Nebraska,0.9175816205789421
Childrens Place Inc,Children's Museum of Philadelphia,0.9174453573602823
Citizens Republic Bancorp Inc,Citizens Commission On Holocaust Assets,0.9173689190599361
Educational Development Corp,Education Investment Co,0.9173502008914389
Universal American Corp,Universal Bearing,0.9172860802292703
PacificNet Inc,Pacific Rim Environmental Resources,0.9144016290113892
Equitable Group Inc,Equitable Resources,0.9143222358522913
Mitsubishi Electric Corp,Mitsubishi Motors,0.9124298199407285
Intelligent Communication Enterprise Corp,Intelligent Optical Systems,0.9112250696710623
Park City Group Inc,"Park City, UT",0.9103082384115813
Hillsborough Resources Ltd,"Hillsborough County, FL",0.9098530973607218
PacificNet Inc,Pacific Mutual Holding,0.9089288233977356
Advanced Fiber Technologies (AFT) Income Fund,Advanced Integrated Management Services,0.9084491572537859
Jefferson Bancshares Inc,"Jefferson Parish, LA",0.9073673485553834
Susquehanna Media Co,Susquehanna Pfaltzgraff,0.9067882694158975
Dominion Resources Black Warrior Trust,Dominion Resources,0.9063064839657687
Allegheny Energy Inc.,Allegis Group,0.9055914926926615
Southeastern Bank Financial Corp,Southeastern Colorado Water Conservancy,0.905363532615355
Florida Gaming Corp,Florida Sugar Cane League,0.9048894627707942
United Defense Industries Inc.,United Defense,0.9047436782968604
National Rural Utilities Cooperative Finance Corp,National Auto Dealers Assn,0.9041077717290482
Allegheny Technologies Inc,"Allegheny County, PA",0.9029717672962598
New York Film Works Inc,New York University,0.9026798970506674
Zions Bancorporation,Zions Bancorp,0.9011207530683972
